text_id,text,predicted_total_persons,true_total_count,total_correct,predicted_count_adults,true_adults_count,adults_correct,predicted_count_children,true_children_count,children_correct,both_correct
14205200,Сниму жилье. 500-600 рублей сутки. Эконом класса. Заезд 18.06. На 9-10 дней. На одного человека.,1.0,1,True,1.0,1,True,0.0,0,True,False
319097075,"ищем жилье в центре недалеко от моря с 23.07-03.08 - нужен 1 двухместный номер, 1 трехместный, недорого. или как вариант дом на 2 семьи (5 чел)",5.0,5,True,0.0,5,False,5.0,0,False,False
98881311,Ищем жилье на период с 18-28июля..на две семьи 4взрослых 3 детей. .1500-2000в сутки за номер,7.0,7,True,4.0,4,True,3.0,3,True,False
44587027,"2 семьи по 3 человека (2 взрослых и ребенок) с 01.09-13.09 снимем жильё в пределах 5 минут от пляжа, 1500 руб/сутки. Рассмотрим все варианты.",6.0,6,True,4.0,4,True,2.0,2,True,False
352802829,Сниму недорогое жилье в лазаревском на 6 чел 3 взр и 3 дет 30.07-09.08,6.0,6,True,3.0,3,True,3.0,3,True,False
52157605,"Ищем жилье на двоих с 7.08-14.08 . Ближе к центру и к моречку. (Wi-fi, кондиционер)",2.0,2,True,2.0,2,True,0.0,0,True,False
408430986,"Сниму жильё в Аше ( на улице Репина)
С 16/29 июля 
2х местный писать в лс)",2.0,2,True,2.0,2,True,0.0,0,True,False
176294447,Снимем жилье с 30.06-7.07 Два взрослых и 2детей(7 и 11лет). Недалеко от моря.,5.0,4,False,2.0,2,True,2.0,2,True,False
150296790,Снимем жильё с 30 июня по 7 июля 3 взрослых и ребёнок,4.0,4,True,3.0,3,True,1.0,1,True,False
120627580,"Сниму не дорогое жилье 1 взрослый и 2 ребенка ( 9 лет и 5 лет). Примерно с 10 июля, на 20 дней. Спасибо",3.0,3,True,1.0,1,True,2.0,2,True,False
447606306,"Добрый день! Ищем жильё (гостевой дом) с парковкой в Лазаревском, планируем приезд 5-6 августа на 7 дней, двое взрослых и двое детей (16 и 2 г) не далеко от моря. Рассмотрим ваши предложения!",4.0,4,True,2.0,2,True,2.0,2,True,False
6705832,"Здравствуйте.Снимем жилье с 12.07 по 17.07
 2 взрослых и 1 ребенок 6 лет,со всеми удобствами недалеко от моря. Приезд в час ночи.",3.0,3,True,2.0,2,True,1.0,1,True,False
98410800,"Ищем жилье! 2взрослых и 3 ребенка ( 6,6 и 4 года) можно 2 двухспалки,недалеко от центра и моря,эконом! С 11.07 по 23.07.",5.0,5,True,2.0,2,True,3.0,3,True,False
89356440,"Здравствуйте! Ищем жильё для 2 взрослых и 3 детей (17,5,,2) в период с 1.08.2018,на 10 дней,недорого.",5.0,5,True,2.0,2,True,3.0,3,True,False
8267186,"Здравствуйте! Ищем жильё для 2 взрослых и 4 детей (8,5,4,2) в период с 29.05.2018 по 09.06.2018 года с кухней, недалёко от моря! Предложения в л/с",6.0,6,True,2.0,2,True,4.0,4,True,False
12546114,,,4,False,,4,False,,0,False,False
127719493,Ищем жильё рядом с морем . На 2 взрослого..конец июля начало августа .. на 10 дней. 1000-1500₽,2.0,2,True,2.0,2,True,0.0,0,True,False
65977922,"Ищем жильё с15.06 на 2 недели 2 взрослыми 2 детей , не далеко от моря ,не дорого можно квартиру и т д ?",4.0,4,True,2.0,2,True,2.0,2,True,False
58833820,"Добрый вечер! Ищем жилье на 2 человек, с 3 сентября на 7 дней.",2.0,2,True,0.0,2,False,0.0,0,True,False
42581032,Добрый вечер! ищем жилье на отдых с 16-29 августа.на 6 человек...,6.0,6,True,0.0,6,False,0.0,0,True,False
